"src","tgt"
"A young man in a white shirt cutting tomatoes .","Ein junger Mann in einem weißen Hemd , der Tomaten schneidet ."
"A young boy in blue shorts is climbing rocks along the hotel resort beach shore .","Ein Junge in blauen kurzen Hosen erklettert Felsen entlang des Strands einer Hotelanlage ."
"A man plays saxophone next to a yellow fire hydrant .","Ein Mann spielt neben einem gelben Hydranten Saxophon ."
"A man in a fish market is cutting swordfish into steaks .","Ein Mann auf einem Fischmarkt schneidet Schwertfisch zu Steaks ."
"A dog in midair cacthing the red ball .","Ein Hund , der den roten Ball fängt , mitten im Sprung ."
"Three women dressed in plain clothes are cooking a meal in their kitchen .","Drei einfach gekleidete Frauen bereiten in ihrer Küche eine Mahlzeit zu ."
"People are walk and running on a bridge sidewalk .","Leute gehen und rennen auf dem Gehweg einer Brücke ."
"Two young women are walking along a rural path bordered by trees .","Zwei junge Frauen gehen einen baumgesäumten ländlichen Weg entlang ."
"A young girl on the beach , running toward the water .","Ein Mädchen am Strand , das auf das Wasser zu rennt ."
"A young boy in a blue shirt and green hat blows up an orange balloon .","Ein junge in einem blauen Hemd und einer grünen Mütze bläst einen orangefarbenen Luftballon auf ."
"A black and white dog jumping into a pool after tennis balls .","Ein schwarz @-@ weißer Hund , der nach Tennisbällen in einen Pool springt ."
"Little boy runs the wrong way after hitting the ball in a game of tee ball .","Ein kleiner Junge rennt in die falsche Richtung , nachdem er bei einem Schlagballspiel den Ball geschlagen hat ."
"A person in a blue shirt is holding a microphone in their hands .","Eine Person mit blauem Hemd hält ein Mikrofon in ihren Händen ."
"A man in white and red with sunglasses carrying and blowing a very large horn .","Ein Mann mit Sonnenbrille in Weiß und Rot , der ein sehr großes Horn trägt und bläst ."
"A barefoot redheaded girl jumping over a rail .","Ein barfüßiges rothaariges Mädchen , das über ein Geländer springt ."
"A woman in shorts throwing a bowling ball down a bowling alley .","Eine Frau in kurzen Hosen , die eine Bowlingkugel auf eine Bowlingbahn wirft ."
"He is reading a paper and she is looking at him with a smile .","Er liest Zeitung und sie blickt ihn lächelnd an ."
"A tan dog on a leash running in shallow ocean water .","Ein gelbbrauner Hund an einer Leine , der in flachem Meerwasser rennt ."
"The boy is jumping in the woods .","Der Junge springt im Wald ."
"A man and a woman are sitting on the ground and surrounded by boats .","Ein Mann und eine Frau sitzen von Booten umgeben auf dem Boden ."
"A young boy on the beach running into the ocean waves .","Ein Junge am Strand , der in die Wellen rennt ."
"A boy in a blue boat tied to a larger boat dumps out a bucket of water .","Ein Junge in einem blauen Boot , das an einem größeren Boot angeleint ist , kippt einen Eimer Wasser aus ."
"A man walking down a narrow street .","Ein Mann , der eine schmale Straße entlang geht ."
"A young man rests on an airport seat with a cowboy hat over his face .","Ein junger Mann ruht sich auf einem Flughafensitz mit einem Cowboyhut über dem Gesicht aus ."
"Children fishing off a bridge","Kinder , die von einer Brücke aus fischen"
"Man sitting in the shadows on the steps of a building .","Ein Mann , der auf den Stufen eines Gebäudes im Schatten sitzt ."
"A black and white dog jumping into a pool .","Ein schwarz @-@ weißer Hund , der in einen Pool springt ."
"A black dog and a white dog race in a grassy field while spectators look on .","Ein schwarzer Hund und ein weißer Hund rennen auf einer Wiese , Zuschauer sehen zu ."
"A bunch of birds outside of a building .","Ein paar Vögel vor einem Gebäude ."
"A golfer prepares to take a shot on golf course surrounded by trees .","Ein Golfspieler bereitet auf dem von Bäumen umgebenen Golfplatz einen Schlag vor ."
"A firefighter extinguishes a fire under the hood of a car .","Ein Feuerwehrmitarbeiter löscht ein Feuer unter der Motorhaube eines Autos ."
"People gather around a table with many red , white , and blue decorations around in the spacious tent .","Mehrere Personen versammeln sich um einen Tisch mit vielen roten , weißen und blauen Dekorationen im geräumigen Zelt ."
"A toddler with eggs in a bowl .","Ein Kleinkind mit Eiern in einer Schüssel ."
"Three teenagers are carrying wood down a street while one of the teenagers is smiling at the camera .","Drei Teenager , die Holz eine Straße entlang tragen , während einer davon in die Kamera lächelt ."
"A man stands in front of the Gateway Arch .","Ein Mann steht vor dem Gateway Arch ."
"A young boy covered in ink stands in front of a white door .","Ein tintenverschmierter Junge steht vor einer weißen Tür ."
"A blond girl is stepping on vertical logs in the sand .","Ein blondes Mädchen geht auf senkrechten Pfählen im Sand ."
"A young girl with a purple shirt , waters grass .","Ein Mädchen mit einem violetten Oberteil gießt Gras ."
"The cat looks away from the person next to it .","Die Katze blickt von der Person , die ihr am nächsten ist , weg ."
"A couple waiting at a crosswalk in a brightly lit city .","Ein Paar wartet an einem Fußgängerübergang in einer hell erleuchteten Stadt ."
"A person in a yellow shirt stretching on a bridge .","Eine Person in einem gelben Hemd streckt sich auf einer Brücke ."
"A gut wearing a plaid shirt with a mustache selling fish at a market .","Ein Typ mit kariertem Hemd und Schnauzer , der auf einem Markt Fisch verkauft ."
"City workers are doing maintenance on a train track .","Städtische Arbeiter verrichten Wartungsarbeiten an einem Gleis ."
"A child in front of his own reflection turning towards the camera and smiling .","Ein Kind vor seinem eigenen Spiegelbild , das sich zur Kamera dreht und lächelt ."
