"src","tgt"
"Baby wearing an orange shirt and matching headband with a wide smile .","Ein Baby mit einem breiten Lächeln , das ein orangefarbenes Hemd und ein passendes Stirnband trägt ."
"A young white man with a short beard rocks out on his guitar .","Ein junger weißer Mann mit kurzem Bart rockt auf seiner Gitarre ."
"A woman touching a man 's face on a wall after they took a break from riding motorcycles .","Eine Frau auf einer Mauer , die das Gesicht eines Mannes berührt , nachdem sie eine Pause vom Motorradfahren gemacht haben ."
"An adult woman and a young male child walking along a pier , holding an umbrella , while it 's raining .","Eine erwachsene Frau und ein männliches Kind gehen an einer Anlegestelle entlang und halten einen Schirm , während es regnet ,"
"A school boy , with a backpack on , jumping off a wall .","Ein Schuljunge mit Rucksack , der von einer Mauer springt ."
"A smiling man in a white shirt is grilling on an open grill .","Ein lächelnder Mann mit weißem Hemd grillt an einem offenen Grill ."
"A white dog watching a black dog in the air .","Ein weißer Hund beobachtet einen schwarzen Hund in der Luft ."
"A black dog jumps to catch a ball in his mouth near a rock wall .","Ein schwarzer Hund springt nahe einer Felswand , um einen Ball im Maul zu fangen ."
"A man reading a newspaper in a train .","Ein Mann liest im Zug eine Zeitung ."
"A dog , lying down , tethered to the side mirror of a yellow VW bus .","Ein liegender Hund , der am Seitenspiegel eines gelben VW @-@ Busses angebunden ist ."
"Two men sitting on a bench between two trees overlooking an Autumn landscape .","Zwei Männer , die auf einer Bank zwischen zwei Bäumen sitzen und auf eine Herbstlandschaft blicken ."
"The boy hits the blue and white soccer ball with his knee .","Der Junge trifft den blau @-@ weißen Fußball mit dem Knie ."
"A man is intently observing a slide through a microscope .","Ein Mann blickt konzentriert durch ein Mikroskop auf ein Objektglas ."
"A child is looking up at an adult while sitting in a stroller on a city sidewalk .","Ein Kind , das in einem Sportwagen auf einem städtischen Bürgersteig sitzt , blickt zu einem Erwachsenen hoch ."
"A toddler girl in a swing is laughing .","Ein Mädchen im Kleinkindalter sitzt in einer Schaukel und lacht ."
"A group of seven people are eating at a table draped in a black tablecloth .","Eine aus sieben Personen bestehende Gruppe isst an einem Tisch mit schwarzer Tischdecke ."
"Two men are chopping down weeds in their yard .","Zwei Männer hacken in ihrem Hof Unkraut weg ."
"A man in a red coat is driving a vehicle .","Ein Mann im roten Mantel fährt ein Fahrzeug ."
"Woman and small black dog walking across pavement","Eine Frau und ein kleiner schwarzer Hund , die auf dem Asphalt gehen"
"A group of children running in the grass .","Eine Gruppe von Kindern , die im Gras rennen ."
"A man in purple , white , and yellow on stilts .","Ein Mann in Violett , Weiß und Gelb auf Stelzen ."
"A man in a tattered shirt and pants , sitting on a chair and weaving something .","Ein Mann mit zerlumpter Kleidung , der auf einem Stuhl sitzt und etwas webt ."
"Man in flowery costume and hat performs with hula @-@ hoop in city street .","Ein Mann in einem geblümten Kostüm und Hut führt auf der Straße einer Stadt etwas mit einem Hula @-@ Hoop @-@ Reifen vor ."
"A man wearing a green jacket and knit hat is sorting tomatoes at an outdoor market .","Ein Mann mit grüner Jacke und Strickmütze auf einem Markt im Freien sortiert Tomaten ."
"Two dogs are running through the surf .","Zwei Hunde rennen durch die Brandung ."
"A dog is running through high grass with a woman wearing red in the background .","Ein Hund rennt durch hohes Gras , im Hintergrund eine Frau , die etwas Rotes trägt ."
"A woman waiting on a sidewalk for something .","Eine Frau auf einem Bürgersteig wartet auf etwas ."
"A man sits on the sidewalk in front of an Asian restaurant as people pass .","Ein Mann sitzt auf dem Bürgersteig vor einem asiatischen Restaurant , während andere vorbeigehen ."
"A group of people standing around two men sitting wearing turbans .","Eine Gruppe steht um zwei sitzende Männer herum , die Turbane tragen ."
"A goalie attempts to block a puck hit by a player at an ice hockey game .","Bei einem Hockeyspiel versucht ein Goalie , einen Puck zu blockieren , der von einem Spieler geschlagen wird ."
"An Asian woman rides a bicycle in front of two cars .","Eine asiatische Frau vor zwei Autos fährt Fahrrad ."
"A woman seated at a table is knitting and watching a hockey game on tv .","Eine Frau an einem Tisch strickt und sieht ein Hockeyspiel im Fernsehen ."
"A woman works a project with thread in hand .","Eine Frau arbeitet an etwas und hat Faden in der Hand ."
"One boy is trying to kiss another in a school lunch room .","Ein Junge in einer Schulkantine versucht einen anderen zu küssen ."
"The passengers on the bus are bored .","Die Passagiere im Bus langweilen sich ."
"An elderly man wearing a hat and jacket is bicycling down a brick paved path while sunlight streams through autumn trees ahead .","Ein älterer Mann mit Hut und Jackett fährt mit dem Fahrrad einen mit Ziegeln gepflasterten Weg entlang , während weiter vorn Sonnenlicht durch Herbstbäume strahlt ."
"A group of people working at a conference table , in an office .","Eine Gruppe arbeitet in einem Büro an einem Konferenztisch ."
"Asian man in suit and glasses takes a nap by the doors in a subway .","Ein asiatischer Mann mit Anzug und Brille macht in einer U @-@ Bahn neben den Türen ein Nickerchen ."
"A boy looks down and spreads his arms wide","Ein Junge blickt nach unten und spreizt die Arme weit auseinander ."
"A group of people wearing blue shirts , standing in the grass .","Eine Gruppe mit blauen Oberteilen , die im Gras steht ."
"A bicyclist and a man in a suit are sitting near a fountain talking on cellphones .","Ein Fahrradfahrer und ein Mann im Anzug sitzen neben einem Brunnen und sprechen mit Handys ."
"A beautiful long @-@ haired blond girl dressed in a blue and green bikini walking down a street","Eine schönes Mädchen mit langen blonden Haaren , das einen blau @-@ grünen Bikini trägt und eine Straße entlang geht"
"A street performer with a white face watches people walk by .","Ein Straßenkünstler mit weißem Gesicht sieht zu , wie die Leute vorbei gehen ."
"A line of people going through an arid region past a sign , the people are either walking or riding animals .","Eine Reihe von Menschen , die durch eine trockene Gegend an einem Schild vorbei gehen , wobei sie entweder zu Fuß gehen oder Tiere reiten ."
"A married couple is sitting in a vehicle .","Ein verheiratetes Paar sitzt in einem Fahrzeug ."
"Several motorcycles are parked on one parking space .","Mehrere Motorräder sind auf einem Parkplatz geparkt ."
"A small girl slides down a spiral slide at the playground .","Ein kleines Mädchen rutscht auf einer spiralförmigen Rutsche auf dem Spielplatz ."
"Two men working outside cleaning the street in their orange uniforms .","Zwei Männer in orangefarbenen Uniformen arbeiten im Freien und reinigen die Straße ."
"A policeman is shown working a block party .","Es wird ein Polizist gezeigt , der auf einem Straßenfest arbeitet ."
"A male is standing on a base pitching a ball .","Eine männliche Person steht an einer Base und wirft einen Ball ."
"Two young girls are riding red tricycles .","Zwei Mädchen fahren rote Dreiräder ."
"Beautiful woman dancing on a parade float holding a little boy .","Eine schöne Frau , die auf dem Fahrzeug einer Parade tanzt und einen kleinen Jungen hält ."
"A many dressed in army gear walks on the crash walking a brown dog .","Ein Mann in Armeekleidung mit einem braunen Hund geht vom Unfallort weg ."
"A man in a military uniform stands next to what appears to be a military k @-@ 9 dog , with a loudspeaker in the foreground , and other military personnel and military vehicles in the background .","Ein Mann in Militäruniform steht neben einem Hund , der wie ein k @-@ 9 @-@ Militärhund aussieht , im Vordergrund ein Lautsprecher , im Hintergrund andere Militärangehörige und Militärfahrzeuge ."
"Man taking a picture in a crowd of people .","Ein Mann , der in einer Menschenmenge ein Foto macht ."
"A man and a woman walk through the street during a parade .","Ein Mann und eine Frau gehen während einer Parade die Straße entlang ."
