"src","tgt"
"A man on a bicycle rides past a bright blue door .","Ein Mann auf einem Fahrrad fährt an einer leuchtend blauen Tür vorbei ."
"A tribesman makes his way up a tree with his feet and his hands .","Ein Stammesangehöriger geht mit Füßen und Händen an einem Baum hoch ."
"A group of mothers are sitting and breast feeding their babies .","Mehrere Mütter sitzen und stillen ihre Babys ."
"Two cows stand in front of people riding a bus .","Zwei Kühe stehen vor Leuten , die Bus fahren ."
"A man is sitting on a bench at a subway station .","Ein Mann sitzt in einer U @-@ Bahn @-@ Station auf einer Bank ."
"A man with a green jacket and a black hat standing near a doorway .","Ein Mann mit grüner Jacke und schwarzem Hut steht bei einer Toreinfahrt ."
"The gray and white dog is walking on gravel .","Der grau @-@ weiße Hund geht auf Kies ."
"A man on a skateboard is jumping in the air with it .","Ein Mann auf einem Skateboard springt damit in die Luft ."
"Two male soccer players are resting to take a drink .","Zwei Fußballspieler pausieren , um zu trinken ."
"A toddler walking through an old building in a blue outfit .","Ein blau angezogenes Kleinkind geht durch ein altes Gebäude ."
"A dog runs through the snow .","Ein Hund rennt durch den Schnee ."
"A child in a blue jacket and helmet is on a skateboard .","Ein Kind mit blauer Jacke und Helm fährt Skateboard ."
"Two men working on building a house .","Zwei Männer sind dabei , ein Haus zu bauen ."
"The child is standing on top of a snowbank with their arms outstretched .","Das Kind steht auf mit ausgestreckten Armen auf einer Schneewehe ."
"Two young girls in fancy dresses are standing outside .","Zwei Mädchen in schicken Kleidern stehen im Freien ."
"A toy lego set is featured in the foreground while a woman and child play with it in the background .","Ein Spielzeug @-@ Legosatz ist im Vordergrund zu sehen , mit einer Frau und einem Kind , die damit spielen , im Hintergrund ."
"Kids forming a rock band .","Kinder bilden eine Rockband ."
"A group of six people relaxing in the living room and playing a board game .","Eine aus sechs Personen bestehende Gruppe entspannt sich im Wohnzimmer und spielt ein Brettspiel ."
"Surfer catching a good , deep clear blue , wave .","Ein Surfer , der eine gute , tiefe klarblaue Welle erwischt ."
"A man standing at the top of a plastic chair eye bulling the different kind of hats","Ein Mann , der auf einem Plastikstuhl steht und verschiedene Kopfbedeckungen in Augenschein nimmt ."
"A man working on laying a new roof .","Ein Mann , der ein Dach neu eindeckt ."
"A girl in a bathrobe holding a plate of food stands next to a boy holding utensils and a red cup .","Ein Mädchen im Bademantel , das einen Teller mit Essen hält , steht neben einem Jungen , der Besteck und eine rote Tasse hält ."
"Two people sleep on a bench .","Zwei Personen schlafen auf einer Bank ."
"Two men and a child are using a ruler on a wall .","Zwei Männer und ein Kind benutzen ein Lineal auf einer Wand ."
"Indian man with elephant and group of indian children in temple .","Ein indischer Mann mit einem Elefanten und eine Gruppe indischer Kinder in einem Tempel ."
"A boy has a spiked bracelet and a strange glove on .","Ein Junge hat ein Stachelarmband und einen seltsamen Handschuh an ."
"A man known as Deleon speaks at a Q & amp ; A .","Ein als Deleon bekannter Mann spricht auf einem Q & A ."
"Man with glasses on speaking in a microphone surrounded by a group of people .","Ein Mann mit Brille , der von einer Personengruppe umgeben in ein Mikrofon spricht ."
"A small child plays with a batman toy car","Ein kleines Kind spielt mit einem Batman @-@ Spielzeugauto ."
"A lady wearing a green sweater is putting candy on a shelf .","Eine Dame mit grünem Pullover legt Süßigkeiten auf ein Regal ."
"Two children hug one another .","Zwei Kinder umarmen einander ."
"A large crowd of people watch the stage as an outside concert takes place .","Eine große Menschenmenge beobachtet bei einem Freiluftkonzert die Bühne ."
"A little girl looking at a large boulder","Ein kleines Mädchen , das auf einen großen Felsbrocken blickt"
"A black dog plays with two soft toys in front of a fireplace .","Ein schwarzer Hund spielt vor einem Kamin mit zwei Gummitieren ."
"Ensuring that an accurate account of all I see here is appropriately recorded .","Es wird sichergestellt , dass eine genaue Aufzählung von allem , was ich hier sehe , ordnungsgemäß aufgezeichnet wird ."
"A man looks through a microscope while another man in the background also looks through a microscope .","Ein Mann blickt durch ein Mikroskop , während ein anderer Mann im Hintergrund ebenfalls durch eine Mikroskop blickt ."
"A group of guys swimming in red trunks .","Einige Männer schwimmen in roten Badehosen ."
"A black dog wearing a blue collar is running through the snow .","Ein schwarzer Hund mit einem blauen Halsband rennt durch den Schnee ."
"A woman looks at art in a gallery while two children sit on the floor .","Eine Frau blickt auf Kunst in einer Galerie , während zwei Kinder auf dem Boden sitzen ."
"A white female in a red dress assisting a black female bride into her white wedding dress .","Eine weiße weibliche Person in einem roten Kleid , die einer schwarzen weiblichen Braut in ihr weißes Brautkleid hilft ."
"Many people near a crosswalk in a busy city .","Viele Personen in der Nähe eines Fußgängerüberwegs in einer verkehrsreichen Stadt ."
"Man in costume talks to a girl in a blue hoodie in a conference center .","Ein Mann in einem Kostüm spricht in einem Konferenzzentrum zu einem Mädchen in einem blauen Kapuzenteil ."
"A man is walking on the beach at sunrise .","Ein Mann geht bei Sonnenaufgang am Strand entlang ."
"A group of people taking a stroll on the beach at sunset .","Eine Personengruppe , die bei Sonnenuntergang einen Strandspaziergang macht ."
"Seven children are jumping in a grassy meadow .","Sieben Kinder springen auf einer Wiese ."
"A beige dog and brown dog in the snow .","Ein beiger Hund und ein brauner Hund im Schnee ."
"A ragged man sleeping behind a building .","Ein in Lumpen gekleideter Mann schläft hinter einem Gebäude ."
"A man climbing an icy glacier with the assistance of a pick .","Ein Mann klettert mithilfe eines Pickels auf einen vereisten Gletscher ."
"A little girl riding a skateboard while a boy swings a toy at her .","Ein kleines Mädchen fährt Skateboard , während ein Junge ein Spielzeug auf sie wirft ."
"A man wearing a plaid shirt is painting on a large sheet .","Ein Mann mit kariertem Hemd malt auf einer großen Straße ."
"A man writing something down behind a bush .","Ein Mann , der etwas hinter einem Busch aufschreibt ."
"A man rides on a unicycle down the sidewalk .","Ein Mann fährt auf einem Einrad den Bürgersteig entlang ."
"A woman is shampooing and man 's head in a hair salon .","Eine Frau wäscht in einem Haarsalon den Kopf eines Mannes ."
"A woman with a blue hat is taking photos in an area covered in brush .","Eine Frau mit blauer Mütze fotografiert eine mit Büschen bedeckte Gegend ."
"A firefighter is putting wooden blocks under a crushed blue car .","Ein Feuerwehrmitarbeiter setzt Holzblöcke unter ein verunfalltes blaues Auto ."
"A brown and black dog running through a grassy field","Ein braun @-@ schwarzer Hund , der über eine Wiese rennt ."
"An adult male is kneeling on top of a roof make repairs","Eine erwachsene männliche Person kniet auf dem Dach , um Reparaturen vorzunehmen ."
"A man shows a woman how to use a saw to cut a board .","Ein Mann zweigt einer Frau , wie man eine Säge benutzt , um ein Brett durchzusägen ."
"Two people walking down a city street at night","Zwei Personen gehen nachts eine städtische Straße entlang ."
"A group of guys working on a small blue open @-@ topped racing vehicle .","Mehrere Männer , die an einem kleinen blauen Rennauto mit offenem Deck arbeiten ."
"A firefighter is working at a fire .","Ein Feuerwehrangehöriger arbeitet bei einem Brand ."
"A white dog is running through the snow .","Ein weißer Hund rennt durch den Schnee ."
"A man playing a black grand piano .","Ein Mann spielt auf einem Flügel ."
"A cow lies on a walkway between two rails as some people relax nearby and a woman walks away .","Eine Kuh liegt auf einem Fußweg zwischen zwei Geländern , während sich ein paar Leute in der Nähe entspannen und eine Frau weggeht ."
"Crowd of people with red construction hats standing around a oil pump .","Eine Menschenmenge mit roten Bauarbeiterhelmen steht um eine Ölpumpe herum ."
"Two men in martial arts clothing are kneeling before racks of weapons .","Zwei Männer in Kampfsportkleidung knien vor Waffengestellen ."
"A brown dog plays in the snow .","Ein brauner Hund spielt im Schnee ."
"There is a construction site with a backhoe and a man with a shovel .","Eine Baustelle mit einem Bagger und einem Mann mit einer Schaufel ist zu sehen ."
"Two men wearing bright yellow vests sit in a vehicle .","Zwei Männer mit leuchtend gelben Westen sitzen in einem Fahrzeug ."
"There are two men in yellow vests working in a large green filed .","Zwei Männer in gelben Westen arbeiten in einem großen grünen Feld ."
"A little girl is riding a bicycle .","Ein kleines Mädchen fährt Fahrrad ."
"A man with a thin beard and brown jacket plays  Guitar Hero  in a crowded room .","Ein Mann mit dünnem Bart und brauner Jacke spielt in einem vollen Raum „ Guitar Hero “ ."
"A rider on a horse landing from a jump .","Ein Reiter auf einem Pferd landet nach einem Sprung ."
"A man with glasses talks to a group of friends .","Ein Mann mit Brille spricht zu einer Gruppe von Freunden ."
"A lady with a pink hoodie is taking a video of large screen monitor of a sports team .","Eine Dame mit rosafarbenem Kapuzenteil zeichnet ein Video eines Sportteams vom Großbildschirm auf ."
"A lady dressed in a black coat , jean skirt , black boots and black handbag , walking by a huge ad of a lady digging through her purse .","Eine Dame mit schwarzem Mandel , Jeanshemd , schwarzen Schuhen und schwarzer Handtasche geht an einem riesigen Werbeplakat einer Dame vorbei , die ihre Handtasche durchsucht ."
"A female dancer does a center leap across a stage .","Eine Tänzerin macht auf einer Bühne einen Center Leap ."
"A brown , black and white dog is on a obstacle course .","Ein braun @-@ schwarz @-@ weißer Hund befindet sich auf einem Hindernispfad ."
"A skateboarder doing a trick on a ramp","Ein Skateboarder , der auf einer Rampe ein Kunststück macht ."
"Two adorable children who were dressed very similar by their mother are enjoying a train ride .","Zwei wunderschöne Kinder , die von der Mutter sehr ähnlich angezogen wurden , fahren Zug ."
"A muscular man in swim trunks plays paddle ball on the beach","Ein muskulöser Mann in Badehose spielt Paddle Ball am Strand ."
"A curly @-@ haired man is talking or possibly debating with a blond @-@ haired man in front of a table .","Ein Mann mit lockigen Haaren spricht oder diskutiert vielleicht mit einem blonden Mann vor einem Tisch ."
"A policeman is sitting in a van looking out the window .","Ein Polizist sitzt in einem Lieferwagen und sieht aus dem Fenster ."
"Two men are working on a circular window by standing on chairs .","Zwei Männer arbeiten an einem kreisförmigen Fenster und stehen dabei auf Stühlen ."
"A blond woman in blue clothes is playing a cello .","Eine blonde Frau in blauen Kleidern spielt Cello ."
"A woman sitting in a chair while a man is removing her garter belt","Eine Frau sitzt in einem Sessel , während ein Mann ihren Strumpfhalter abnimmt ."
"Several dogs grouped together in a winter setting .","Mehrere Hunde in einem winterlichen Ambiente ."
"This young man is shaving in front of a mirror .","Dieser junge Mann rasiert sich vor einem Spiegel ."
"A man wearing a blue shit is standing up speaking .","Ein Mann mit einem blauen Hemd steht und spricht ."
"An Indian man wearing a turban walks along a sidewalk .","Ein indischer Mann mit einem Turban geht einen Bürgersteig entlang ."
"A man climbs up a rock .","Ein Mann klettert einen Felsen hoch ."
"Several dancers are doing leg lifts on stage .","Mehrere Tänzer heben auf der Bühne die Beine ."
"A shirtless male is riding a skateboard , performing a trick .","Eine männliche Person mit nacktem Oberkörper fährt Skateboard und führt ein Kunststück aus ."
"A Japanese man in a red shirt , at the olympics playing tennis .","Ein japanischer Mann mit rotem Hemd , der bei der Olympiade Tennis spielt ."
