"src","tgt"
"A man in a green shirt holds out a clipboard for a woman in pink 's attention .","Ein Mann mit grünem Hemd hält ein Clipboard für eine Frau in Rosatönen hoch ."
"A male security officer stands at his post behind another man in a patterned sweater .","Ein Wachmann steht hinter einem anderem Mann in gemustertem Pullover auf seinem Posten ."
"Two guys , in black shirts , smoking outside .","Zwei Männer mit schwarzen Hemden rauchen draußen ."
"A woman in black flips through pages of a book in a library as a girl in white wearing headphones smiles .","Eine Frau in Schwarz blättert durch die Seiten eines Buches in einer Bibliothek , während ein Mädchen in Weiß Kopfhörer trägt und lächelt ."
"A woman helping another woman out with a website on a computer .","Eine Frau , die einer anderen Frau mit einer Website auf einem Computer hilft ."
"Two children fall headfirst into a colorful ball pit while a third child watches .","Zwei Kinder fallen mit dem Kopf voran in ein buntes Kugelbad , wo ein drittes Kind zusieht ."
"A retail professional pauses while interacting with customers .","Eine Einzelhandelsfachkraft im Kontakt mit Kunden hält inne ."
"Three dogs running around in the grass with woods in the background","Drei Hunde rennen auf der Wiese herum , im Hintergrund ist Wald ."
"Kids and adults playing in shallow water in a city .","Kinder und Erwachsene , die in einer Stadt im flachen Wasser spielen ."
"Groom wearing black and gray tux and bride wearing a white dress are being sprinkled with flowers .","Ein Bräutigam mit schwarz @-@ grauem Smoking und eine Braut im weißen Kleid werden mit Blumen beworfen ."
"A happy , beautiful bride getting out of a luxury car .","Eine schöne , glückliche Braut , die aus einem Luxuswagen aussteigt ."
"Man cycles through diry bike path wearing white helmet and gloves","Ein Mann fährt auf einem schmutzigen Fahrradweg mit weißem Helm und Handschuhen Fahrrad ."
"A group of people having conversations at a restaurant .","Eine Gruppe unterhält sich in einem Restaurant ."
"A Houston baseball player has caught a ball and is now throwing the ball towards another team member .","A Baseballspieler von Houston hat einen Ball gefangen und wirft den Ball nun einem anderen Mitglied des Teams zu ."
"Three people on stage singing and playing instruments .","Drei Personen auf der Bühne , die singen und Instrumente spielen ."
"Three People shopping in an isle in a foreign grocery store .","Drei Personen , die in einem Gang eines ausländischen Lebensmittelgeschäfts einkaufen ."
"Four boys jumping into an inground pool .","Vier Jungen , die in einen eingelassenen Pool springen ."
"A small white dog climbs over a log .","Ein kleiner weißer Hund klettert über einen Baumstamm ."
"A lady setting up multicolored balls in a contraption .","Eine Dame , die mehrfarbige Bälle in einem Apparat anordnet ."
"Two men , both wearing bright yellow vests and jeans , are working on a roof .","Zwei Männer mit leuchtend gelben Westen und Jeans arbeiten auf einem Dach ."
"A man in a white outfit is playing an electric keyboard .","Ein Mann in einem weißen Outfit spielt Keyboard ."
"A man in a floppy hat and bright yellow shorts is standing in mud .","Ein Mann mit Schlapphut und knallgelben Shorts steht im Matsch ."
"A man is speaking into a microphone .","Ein Mann spricht in ein Mikrophon ."
"An elderly man is walking down the sidewalk wearing black shorts and a white shirt .","Ein älterer Mann mit schwarzen kurzen Hosen und weißem Hemd geht auf dem Bürgersteig ."
"A red @-@ haired woman talking on the phone while petting a brown and tan dog .","Eine rothaarige Frau spricht am Telefon und streichelt einen lohfarbenen Hund ."
"A man is standing under an arch near a Wendy 's restaurant .","Ein Mann steht unter einem Bogen in der Nähe eines Wendy ' s @-@ Restaurants ."
"A male child holding a ball standing on the sidewalk .","Ein männliches Kind steht auf dem Gehweg und hält einen Ball ."
"A road is blocked and police are lined up around it .","Eine Straße ist gesperrt und um die Absperrung herum stehen Polizisten ."
"A group of young people sitting and talking .","Eine Gruppe junger Leute , die sitzen und reden ."
"A casual guy having a drink in a asian bar .","Ein lässig wirkender Mann , der in einer asiatischen Bar etwas trinkt ."
"A dog is shaking water off of itself .","Ein Hund schüttelt sich Wasser aus dem Fell ."
"Two dogs tug on a pink and orange ball from opposite ends .","Zwei Hunde ziehen von zwei Seiten an einem orangefarbenen Ball ."
"A man in casual attire is giving a presentation .","Ein Mann in Freizeitkleidung gibt eine Vorstellung ."
"A newborn infant sleeps on his side after a long day .","Ein Neugeborenes schläft nach einem langen Tag auf der Seite ."
"Two gentlemen are in the middle of a computer class .","Zwei Herren mitten in einem Computerkurs ."
"A woman wearing a T @-@ shirt , shorts , and sandals , is miniature golfing in front of flowers and a walkway .","Eine Frau mit T @-@ Shirt , Shorts und Sandalen spielt vor Blumen und einem Gehweg Minigolf ."
"Four men are walking on the street in a cold weather","Vier Männer gehen bei kaltem Wetter auf der Straße ."
"One girl is standing on the street , and the other is crouching looking at something on the ground .","Ein Mädchen steht auf der Straße , und das andere ist in der Hocke und blickt auf etwas , das auf dem Boden liegt ."
"Two people sit in front of computers and a large dark window .","Zwei Personen sitzen vor Computern und einem großen dunklen Fenster ."
"People are riding and rowing a boat near the coastline .","Personen , die in Küstennähe auf einem Boot fahren und rudern ."
"Two men , one carrying a black garbage bag .","Zwei Männer , einer davon mit einer schwarzen Mülltüte ."
