"src","tgt"
"A young boy holding a basketball about to shoot .","Ein Junge , der einen Basketball hält , den er gleich werfen wird ."
"Six small children in coats are gathered around a food cart selling chestnuts for 2.00 Euros .","Sechs kleine Kinder in Jacken sind um einen Essenswagen versammelt , der Kastanien für 2 Euro verkauft ."
"A construction worker overseeing someone digging with a machine .","Ein Bauarbeiter , der jemanden beaufsichtigt , der mit einer Maschine etwas gräbt ."
"A bunch on people are seated in a stadium .","Ein paar Leute sitzen in einem Stadion ."
"The images aren 't showing up , so I ' m going to assume the picture is lovely .","Die Bilder werden nicht angezeigt , also gehe ich davon aus , dass das ein sehr hübsches Bild ist ."
"Two boys eating apples playing on a cement car barrier","Zwei Jungen , die Äpfel essen und auf einer Betonabsperrung spielen ."
"Boy with a painted face is walking around a track .","Ein Junge mit bemaltem Gesicht geht auf einem Weg herum ."
"A band is on stage playing music , led by a man wearing a suit .","Eine Band auf der Bühne unter der Leitung eines Mannes im Anzug spielt Musik ."
"A woman is seen reading through a subway window .","Eine lesende Frau ist durch ein U @-@ Bahn @-@ Fenster zu sehen ."
"Young girl in pink dress plays with boy and a ball","Ein Mädchen mit rosafarbenem Kleid spielt mit einem Jungen und einem Ball ."
"Several people dressed in blue , one is twirling a ribbon","Mehrere blau gekleidete Personen , eine davon zwirbelt ein Band"
"Two dogs are playing with a tennis ball in snow near a tree .","Zwei Hunde spielen im Schnee in der Nähe eines Baums mit einem Tennisball ."
"A black man standing alone outside in a long overcoat .","Ein schwarzer Mann steht alleine in einem langen Mantel draußen ."
"A girl is smiling as a motorcycle with two adults and a child pass by behind here .","Ein Mädchen lächelt , während hinter ihr ein Motorrad mit zwei Erwachsenen und einem Kind vorbeifährt ."
"A young boy washing a window .","Ein Junge , der ein Fenster putzt ."
"Woman in pink top riding a bicycle along side a man jogging along the waterfront .","Eine Frau mit rosafarbenem Oberteil auf einem Fahrrad neben einem Mann , der joggt , im Hafengebiet ."
"A Mom and a kid on the beach with sailboats in the background .","Eine Mutter und ein Kind am Strand , im Hintergrund Segelboote ."
"A man reads an advertisement at a bus stop , while another man sits on a bench .","Ein Mann an einer Bushaltestelle liest eine Anzeige , und eine anderer Mann sitzt auf einer Bank ."
"Two boy scouts filling bucket with water from a sink","Zwei Pfadfinder füllen einen Eimer mit Wasser aus einem Waschbecken ."
"A male dressed in a white shirt with white shorts paints a white wall black .","Eine männliche Person mit weißem Hemd und weißen kurzen Hosen streicht eine weiße Wand schwarz an ."
"An older couple enjoying a Christmas meal .","Ein älteres Paar beim Weihnachtsessen ."
"There are two guys playing guitar hero at a public place .","Zwei Männer , die an einem öffentlichen Ort Guitar Hero spielen ."
"Little boy in a green sweatshirt playing with his toy train .","Ein kleiner Junge mit grünem Sweatshirt , der mit seinem Spielzeugzug spielt ."
"Woman on the street window shops in front of the store , Louis Vuitton .","Eine Frau auf der Straße vor Louis Vuitton macht einen Schaufensterbummel ."
"Six people are attempting to move a car on a snowy street .","Sechs Personen versuchen , ein Auto auf einer verschneiten Straße zu bewegen ."
"A man in a blue sweater is playing a sporting game on the Wii !","Ein Mann mit blauem Pullover spielt ein Sportspiel auf dem Wii ."
"Two girls playing instruments in a group .","Zwei Mädchen spielen in einer Gruppe Instrumente ."
"A man stands on the rocky ledge of a large cliff .","Ein Mann steht auf felsigen Rand eines großen Kliffs ."
"Looking down on someone climbing a cliff over water .","Ein Blick von oben auf jemanden , der eine Klippe über dem Wasser erklettert ."
"A man handling a gold vase type object with 2 others looking on .","Ein Mann , der etwas wie eine Goldvase in der Hand hat , während 2 andere zusehen ."
"A mother pulls her daughter on a sled in the snow .","Eine Mutter zieht ihre Tochter auf einem Schlitten im Schnee ."
"Three people in skiing gear are standing behind a  no skiing  sign .","Drei Personen in Skiausrüstung stehen hinter einem Schild mit der Aufschrift „ No Skiing “ ."
"A small group of people are standing talking to each other outside .","Eine kleine Gruppe steht draußen und redet miteinander ."
"A woman wearing a visor is playing a piano outdoors .","Eine Frau mit einem Sonnenschild spielt im Freien Klavier ."
"A blond @-@ haired boy is looking at an odd looking humanoid robot .","Ein blonder Junge blickt auf einen seltsam aussehenden humanoiden Roboter ."
"Someone dangles on a rope from a rocky cliff over the ocean .","Jemand hängt an einem Seil von einer Felsklippe über dem Meer ."
"A rock climber with a white helmet is repelling .","Ein Kletterer mit weißem Helm stößt sich ab ."
"A dog bounding across the sandy landscape in front of people watching .","Ein Hund , der vor Leuten , die ihm zusehen , durch die sandige Landschaft saust ."
"A young boy weating blue shorts and cleats holding a football running from other boys .","Ein Junge mit blauen kurzen Hosen und Sportschuhen mit Stollen hält einen Fußball und rennt von anderen Jungen weg ."
"The collie is standing outdoors on a sandy area .","Der Collie steht draußen im Sand ."
"Group of girls hanging out on a wet sandy beach .","Mehrere Mädchen , die an einem nassen , sandigen Strand abhängen ."
"A young boy tosses his ball in the air outside .","Ein Junge wirft draußen seinen Ball in die Luft ."
"A young man watches a little girl walking in the grass .","Ein junger Mann beobachtet eine kleines Mädchen , das im Gras läuft ."
"Two dolphins jumped out of the water in this zoo .","Zwei Delphine sind in diesem Zoo aus dem Wasser gesprungen ."
"A woman wearing a red hat and black coat .","Eine Frau mit rotem Hut und schwarzer Jacke ."
"Two young girls exercising to keep up with playing soccer .","Zwei Mädchen üben , um beim Fußball mithalten zu können ."
"Little girl kicking rocks on the beach with her dog .","Ein kleines Mädchen mit seinem Hund , das am Strand Steine kickt ."
"Three children jumping while an older man watches from a row of chairs nearby .","Drei Kinder , die springen , während ein älterer Mann von einer Stuhlreihe in der Nähe zusieht ."
"A young man plucking on his guitar in a waiting room .","Ein junger Mann , der in einem Wartezimmer an seiner Gitarre zupft ."
"Two peoplw with top of heads on grass .","Zwei Personen mit dem Scheitel auf dem Gras ."
"Three dogs playing in a yard together .","Drei Hunde , die zusammen in einem Hof spielen ."
"Some people looking out windows in a large building .","Ein paar Leute sehen in einem großen Gebäude aus den Fenstern ."
"A small boy in black is surfing .","Ein kleiner schwarz gekleideter Junge surft ."
"Two gray dogs run together over the green grass .","Zwei graue Hund rennen zusammen über das grüne Gras ."
"The German Shepherd is walking in the body of water .","Der Deutsche Schäferhund läuft im Gewässer ."
"A young boy is on the back of another person whom is wearing a hat .","Ein Junge befindet sich auf dem Rücken einer anderen Person , die eine Mütze trägt ."
"A singer and two guitarists are playing on a colorfully lit stage .","Ein Sänger und zwei Gitarristen spielen auf einer bunt beleuchteten Bühne ."
"An older gentleman wearing an elaborate headdress holding a white dog that has had its fur dyed several colors .","Ein älterer Herr mit komplizierter Frisur hält einen weißen Hund , dessen Fell in verschiedenen Farben gefärbt ist ."
"A dog carries a stick through the woods .","Ein Hund trägt einen Stock durch den Wald ."
"Two dogs , one large and one small , are playing together in the grass .","Zwei Hunde , ein großer und ein kleiner , spielen zusammen im Gras ."
"Four people riding on the subway .","Vier Personen fahren U @-@ Bahn ."
"A bald man sitting on a stage playing a guitar .","Ein glatzköpfiger Mann , der auf einer Bühne sitzt und Gitarre spielt ."
"A man in a blue and white shirt is siting .","Ein Mann mit blau @-@ weißem Hemd sitzt da ."
"A group of campers is eating dinner near their fire .","Eine Gruppe von Campern isst in der Nähe des Feuers zu Abend ."
"The girl is playing along with the images on the big screen .","Das Mädchen spielt mit den Bildern auf dem großen Bildschirm mit ."
"A brown and black dog is chasing a black dog in the snow .","Ein braun @-@ schwarzer Hund im Schnee verfolgt einen schwarzen Hund ."
"A red @-@ haired male is shaving his face .","Eine rothaarige männliche Person rasiert sich das Gesicht ."
"Several people are walking on a rainy busy street in Asia with clear umbrellas .","Mehrere Personen gehen auf einer belebten Straße in Asien mit transparenten Regenschirmen im Regen ."
"A girl is playing a video game on a life sized screen .","Ein Mädchen spielt auf einem lebensgroßen Bildschirm ein Videospiel ."
"A man is standing in front of a building holding heart shaped balloons and a woman is crossing the street .","Ein Mann steht vor einem Gebäude und hält herzförmige Luftballons , und eine Frau überquert die Straße ."
"A shirtless man works at a construction site .","Ein Mann mit nacktem Oberkörper arbeitet auf einer Baustelle ."
"A man without a shirt on is doing work on the side of a building .","Ein Mann mit nacktem Oberkörper arbeitet auf der Seite eines Gebäudes ."
"A photographer is standing with a boy and his photography equipment .","Ein Fotograf bei seiner Fotoausrüstung und einem Jungen ."
"A large dog runs through a field with a smaller dog .","Ein großer Hund rennt mit einem kleineren Hund durch ein Feld ."
"A man wearing a welding helmet welding steel .","Ein Mann mit einem Schweißerhelm , der Stahl schweißt ."
"A brown and black dog walks in the white snow .","Ein braun @-@ schwarzen Hund läuft im weißen Schnee ."
"A woman and a little girl pose for a picture with a llama atop a hillside .","Eine Frau und ein kleines Mädchen posieren für ein Bild mit einem Lama auf einem Hügel ."
"A shirtless , bearded and mustached man peers through a home 's doorway while a cat sits on the bottom step of the entrance to the home .","Ein Mann mit Vollbart und nacktem Oberkörper blickt durch eine Haustür , während eine Katze auf der untersten Stufe des Hauseingangs sitzt ."
"A donkey pulling a car with a man on it","Ein Esel , der einen Karren mit einem Mann darauf zieht"
"A pale boy playing in a pit of blue balls .","Ein bleicher Junge , der in einer Grube mit blauen Bällen spielt ."
"A foreign lady gathering vegetables .","Eine ausländische Dame , die Gemüse pflückt ."
"A dog runs in the snow , a fence in the background .","Ein Hund rennt im Schnee , im Hintergrund ein Zaun ."
"A young boy smiling and holding sandals .","Ein Junge , der Sandalen hält und lächelt ."
"A gloved man is walking on a sidewalk near an orange van .","Ein Mann mit Handschuhen geht in der Nähe eines orangefarbenen Lieferwagens auf einem Bürgersteig ."
"A group of people are walking outside an exhibition tent .","Eine Gruppe geht vor einem Messezelt vorbei ."
"A woman is talking with two policemen in yellow jackets at an outdoor event .","Eine Frau spricht bei einer Outdoor @-@ Veranstaltung mit zwei Polizisten mit gelben Jacken ."
"A snowboarder doing a trick while on a run .","Ein Snowboarder , der während der Fahrt ein Kunststück macht ."
"A man lays down to rest inside a wood structure against a building .","Ein Mann legt sich in einer Holzstruktur an einem Gebäude hin , um sich auszuruhen ."
"A green fish is jumping out of water .","Ein grüner Fisch springt aus dem Wasser ."
"A man in a black t @-@ shirt looking down as he holds a drink .","Ein Mann mit schwarzem T @-@ Shirt , der ein Getränk hält und nach unten blickt ."
"Man riding a bicycle on a foggy day .","Ein Mann , der an einem nebligen Tag Fahrrad fährt ."
"A woman wearing a pink hat is looking at a pink car with the truck open .","Eine Frau mit rosafarbenem Hut blickt auf ein rosafarbenes Auto mit geöffnete Heckklappe ."
"Woman in blue jacket shows off her vintage car in front of Nathalie 's DollHouse .","Eine Frau mit einer blauen Jacke führt vor Nathalie ' s Doll House ihren Oldtimer vor ."
"Two women in sunhats walk arm in arm down a city street carrying purses .","Zwei Frauen mit Sonnenhüten und Handtaschen gehen Arm in Arm die Straße einer Stadt entlang ."
"People walk around and laugh outside .","Leute gehen im Freien herum und lachen ."
"A woman in a green tank top with curlers in her hair has makeup applied to her eyes in front of a leopard print backdrop .","Eine Frau mit grünem Pullunder und Lockenwicklern im Haar lässt sich vor einem Hintergrund mit Leopardenmuster Makeup auf die Augen auftragen ."
"Brunette woman fixing blond woman 's hair .","Eine braunhaarige Frau , die die Haare einer blonden Frau richtet ."
"A woman with a yellow wrist corsage speaks to the blond bride .","Eine Frau mit einem gelben Handgelenksschmuck spricht zur blonden Braut ."
"A man in sunglasses sits with his girlfriend at a wedding .","Ein Mann mit Sonnenbrille sitzt mit seiner Freundin auf einer Hochzeitsfeier ."
"People smile while standing in suits and dresses .","Mehrere Personen stehen in Anzügen und Kleidern herum und lächeln ."
"A man and a woman are getting married outdoors .","Ein Mann und eine Frau heiraten und freiem Himmel ."
"A man and woman getting married outside on a sunny day .","Ein Mann und eine Frau heiraten an einem sonnigen Tag im Freien ."
"A groom and bride make their way down the aisle as man and wife .","Ein Bräutigam und eine Braut gehen als Mann und Frau in Richtung Kirchenausgang ."
"Men and women at a formal function when a woman in a white dress is carrying a bouquet of red flowers .","Männer und Frauen bei einem förmlichen Anlass , wobei eine Frau in einem weißen Kleid ein Bukett mit roten Blumen trägt ."
"A woman leads three little boys in soccer uniforms .","Eine Frau führt drei kleine Jungen in Fußballtrikots ."
"Three women in dresses are outside accepting hors d 'oeuvres from a caterer .","Drei Frauen , die Kleider tragen , nehmen im Freien von einem Caterer Vorspeisen entgegen ."
