"src","tgt"
"A child in a martial arts uniform is jumping in the air with his arms and legs spread .","Ein Kind im Kampfsportanzug springt mit gespreizten Armen und Beinen in die Luft ."
"Little boy in his bathing suit tentatively preparing to step in the rocky @-@ lined stream .","Ein kleiner Junge in Badehosen bereitet sich vorsichtig darauf vor , in den steinigen Bach zu steigen ."
"People gather in an gymnasium for an assembly .","Leute sammeln sich in einer Sporthalle zu einer Versammlung ."
"A brown dog is running down a slope while a man follows beside him .","Ein brauner Hund rennt einen Hügel hinab , ein Mann folgt neben ihm ."
"A group of people at a table with glasses of beer smiling .","Eine Gruppe von Personen , die mit Biergläsern an einem Tisch sitzen und lächeln ."
"A small black dog growling at a large brown and white cow .","Ein kleiner schwarzer Hund , der eine große braun @-@ weiße Kuh anknurrt ."
"A small girl with a necklace is swimming .","Ein kleines Mädchen mit Halskette schwimmt ."
"The greyhound dogs are racing along a dirt path with buildings nearby .","Die Greyhound @-@ Hund rennen auf einem unbefestigten Pfad in der Nähe von Gebäuden ."
"Three men stand outside a restaurant smoking and conversing .","Drei Männer stehen vor einem Restaurant und rauchen und unterhalten sich ."
"A man flips barbecue chicken legs while another chef watches .","Ein Mann wendet Grill @-@ Hähnchenschlegel , während ein anderer Koch zusieht ."
"A S.C.U.B.A. diver swims in deep blue water .","Ein Taucher schwimmt in tiefblauem Wasser ."
"A man is rowing on his boat through very still water .","Ein Mann rudert auf seinem Boot durch sehr stilles Wasser ."
"A little boy in a red shirt holding a superman produce and staring at an older man .","Ein kleiner Junge mit rotem Hemd hält ein Superman @-@ Produkt und starrt einen älteren Mann an ."
"Three people walking through a ravine between two rocky cliffs .","Drei Personen , die durch eine Schlucht zwischen zwei Felsabhängen gehen ."
"The older woman is talking to the child .","Die ältere Frau spricht zu dem Kind ."
"A group of people is sharing a meal at a large table at a restaurant .","Eine Gruppe , die an einem großen Tisch in einem Restaurant miteinander isst ."
"A brown dog is about to jump .","Ein brauner Hund , bereit zum Sprung ."
"A worker actively engaged in welding two pieces of railing together .","Ein Arbeiter , der zwei Geländerstücke zusammenschweißt ."
"Two men giving a medical seminar , to a small crowd .","Zwei Männer , die vor einer kleinen Gruppe ein medizinisches Seminar abhalten ."
"A dog swims in the aqua water .","Ein Hund schwimmt im Aqua @-@ Wasser ."
"A little girl reads a book in a bed .","Ein kleines Mädchen im Bett liest ein Buch ."
"Two blond @-@ hair girl eating and one is using chopsticks .","Zwei blonde Mädchen essen und eines benutzt Zahnstocher ."
"School children chase some pigeons .","Schulkinder jagen Tauben ."
"A child is sitting in a large round white seat , reading , near a pink bin full of books .","Ein Kind sitzt neben einem rosafarbenen Behälter voller Bücher in einem großen weißen Sessel und liest ."
"The girl eating spaghetti is wearing a red jacket .","Das Mädchen , das Spaghetti isst , trägt eine roten Jacke ."
"The brown dog with a red bandanna is sitting with its paws up on the computer .","Der braune Hund mit dem roten Halstuch sitzt mit hochgelegten Pfoten am Computer ."
"A person crouches at the end of a dock on a lake .","Eine Person hockt am Ende einer Anlegestelle am See ."
"A dark @-@ haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike .","Ein dunkelhaariger Mann in schwarzer Uniform spricht zu einem Mann mit schwarzer Jacke und schwarzem Helm auf einem Motorrad ."
"A man trying to jump into a floaty in beautiful water .","Ein Mann , der versucht in ein Gummiboot in wunderschönem Wasser zu springen ."
"A few people , mostly girls , sit around a table at a very fancy event as they get their pictures taken .","Ein paar Leute , hauptsächlich Mädchen , die bei einer sehr edlen Veranstaltung um einen Tisch sitzen und fotografiert werden ."
"A girl dressed in a pink shirt , jeans , and flip @-@ flops sitting down playing with a lollipop machine .","Ein Mädchen mit rosafarbenem Oberteil , Jeans und Flipflops , das im Sitzen mit einer Lollipop @-@ Maschine spielt ."
