"src","tgt"
"A person in a safety vest pushing a truck .","Eine Person in einer Warnweste , die einen Lkw schiebt ."
"Three men in orange vests are pulling a jeep out of a ravine while another man sits inside .","Drei Männer in orangefarbenen Westen , die eine Jeep aus einem Graben ziehen , während einer im Inneren sitzt ."
"Two men wearing white cowboy hats .","Zwei Männer , die weiße Cowboyhüte tragen ."
"A brown dog runs through the grass holding something in its mouth .","Ein brauner Hund rennt mit etwas im Maul durch das Gras ."
"Few ladies are walking barefooted on the beach .","Ein paar Damen laufen barfuß am Strand ."
"A man wearing a life jacket uses a map while on a small boat .","Ein Mann mit einer Schwimmweste auf einem kleinen Boot liest eine Karte ."
"Two young girls wearing pink playing on a playground","Zwei rosa gekleidete Mädchen spielen auf einem Spielplatz ."
"A man in white shirt play guitar to a woman in a white shirt .","Ein Mann mit weißem Hemd spielt Gitarre für eine Frau mit weißem Hemd ."
"A Baseball batter raising his arm .","Ein Baseball -Schlagmann , der seinen Arm hebt ."
"Women carrying items on their heads walk down a dirt path with greenery on each side .","Frauen , die auf dem Gegenstände eine unbefestigte , auf einer Seite begrünte Straße entlang tragen ."
"Two girls on a jungle gym .","Zwei Mädchen auf einem Klettergerüst ."
"The man is wearing safety gear while he is training the black dog .","Der Mann trägt Sicherheitsausrüstung , während er den schwarzen Hund trainiert ."
"A man wearing colorful clothing and white sunglasses is playing a large drum with his hands .","Ein bunt gekleideter Mann mit weißer Sonnenbrille spielt mit den Händen eine große Trommel ."
"A young boy in a pool playing with a green water gun","Ein Junge in einem Schwimmbecken , der mit einer grünen Wasserpistole spielt"
"Brown dog laying on gravel with grass and trees in background .","Ein brauner Hund , der auf Kies liegt , mit Gras und Bäumen im Hintergrund ."
"A portly man in an orange jumpsuit standing next to a woman in gray on the highway with a motorcycle laying on its side in the middle of the highway .","Ein stämmiger Mann in orangefarbenem Overall , der neben einer grau gekleideten Frau auf der Autobahn steht , während ein Motorrad mitten auf der Autobahn auf der Seite liegt ."
"A man driving a tractor pulls along two young children for a ride .","Ein Traktorfahrer zieht zwei Kinder mit ."
"Two people walk outside in a nature area .","Zwei Personen wandern draußen in einem Naturgebiet ."
"A man and his dog in the mountains .","Ein Mann und sein Hund in den Bergen ."
"Two boys are getting into a van and a younger boy is in a car seat .","Zwei Jungen steigen in einen Lieferwagen , und ein jüngerer sitzt in einem Autositz ."
"A group of kids playing with tires .","Eine Gruppe von Kindern , die mit Reifen spielen ."
"A woman sitting on the subway is holding a white box while closing her eyes .","Eine Frau sitzt mit geschlossenen Augen in der U @-@ Bahn und hält einen weißen Karton ."
"Two dogs playing with each other","Zwei Hunde spielen miteinander"
"A black dog running into the water .","Ein schwarzer Hund rennt ins Wasser ."
"A small dog and a large dog with a rope in its mouth .","Ein kleiner Hund und ein großer Hund mit einem Seil im Maul ."
"A man in a suit walks by a building while the hood of a car reflects a warped view of that building .","Ein Mann im Anzug geht an einem Gebäude vorbei , während die Motorhaube eines Autos ein verzerrtes Bild dieses Gebäudes reflektiert ."
"Person with two ski poles skiing down a snowy hill .","Eine Person mit zwei Skistöcken , die einen verschneiten Hügel hinunter Ski fährt ."
"Seven people are riding a green raft in a white water river .","Sieben Personen fahren auf einem grünen Floß in einem Fluss mit schäumendem Wasser ."
"Many people are walking through a park with a lot of trees .","Viele Leute gehen durch einen Part mit vielen Bäumen ."
"Woman in a white top and green pants handling green vegetables .","Eine Frau mit weißem Oberteil und grünen Hosen beschäftigt sich mit grünem Gemüse ."
"A man is walking across the street .","Ein Mann überquert die Straße ."
"A large women with short hair sleeping in a chair in public .","Eine große Frau mit kurzem Haar schläft in der Öffentlichkeit auf einem Stuhl ."
"People are walking around in a nighttime environment .","Leute gehen in einer nächtlichen Umgebung umher ."
"A man is cutting up food to put in bowls of food at a food court .","Ein Mann schneidet Lebensmittel , um sie in einer Markthalle in Schüsseln zu geben ."
"Four skiers climbing snow drapped mountain .","Vier Skifahrer , die einen schneebedeckten Berg erklimmen ."
"A young girl with blond @-@ hair and glasses sitting at a table in a restaurant .","Ein blondhaariges Mädchen mit Brille , das an einem Tisch im Restaurant sitzt ."
"A person white @-@ water rafting in turbulent water .","Eine Person , die in turbulentem Wasser Wildwasser @-@ Rafting macht ."
"A young man in shorts is looking into a stream next to a rock wall .","Ein junger Mann in Shorts blickt auf einen Bach neben einer Felswand ."
"A boy on a green plastic swing .","Ein Junge auf einer grünen Plastikschaukel ."
"A man in a blue shirt is about to cross the street while a police car is driving by .","Ein Mann mit blauem Hemd will die Straße überqueren , während ein Polizeiauto vorbei fährt ."
"The little boy is playing by tires .","Der kleine Junge spielt in der Nähe von Reifen ."
"A woman eating some food while sitting on a tiny stool next to a propane barbecue .","Eine Frau , die etwas isst und auf einem winzigen Hocker neben einem Propangrill sitzt ."
"Woman in blue shorts walking barefoot on the beach","Eine Frau in blauen Shorts , die barfuß am Strand entlanggeht"
"Two men in teal scrubs stand in front of a cafe with an open sign .","Zwei Männer in türkiser Arbeitskleidung stehen vor einem Cafe mit „ Open “ -Anzeige ."
"A person in a kilt walks along an overpass .","Eine Person in einem Kilt geht eine Überführung entlang ."
"A boy and a toddler boy stand by a water fountain .","Ein Junge und ein männliches Kleinkind stehen an einem Brunnen ."
"A group of people are walking to the beach .","Eine Gruppe von Leuten geht am Strand entlang ."
"A surfboarder emerging from the ocean with his board , as the waves crash ashore behind him .","Ein Surfboarder kommt mit seinem Surfboard aus dem Meer , während hinter ihm die Wellen brechen ."
"Five young people prepare food in a kitchen while watching the television .","Fünf junge Leute bereiten in einer Küche Essen zu und sehen fern ."
"A lone rock climber in a harness climbing a huge rock wall .","Ein einzelner Kletterer in einem Klettergurt , der an einer großen Felswand klettert ."
"Closeup of man 's legs on a bicycle peddal .","Nahaufnahme der Beine eines Mannes auf einem Fahrradpedal ."
"Five men are washing windows of alpine style buildings on five ladders .","Fünf Männer auf fünf Leitern putzen Fenster an Gebäuden im Alpenstil ."
"People climb an odd barred structure .","Leute klettern an einem seltsamen abgesperrten Bauwerk ."
"Brown and white dog running through fall leaves on the ground .","Ein braun @-@ weißer Hund , der durch Herbstlaub rennt ."
"A boy skateboards and does a jump over another skateboard .","Ein Junge fährt Skateboard und springt über ein anderes Skateboard ."
"A muddy child jumps into more mud on the ground .","Ein schlammiges Kind springt in noch mehr Schlamm auf dem Boden ."
"A woman in a green jacket is pushing the button to cross the street .","Eine Frau mit grünem Jackett drückt den Taster , um die Straße zu überqueren ."
"An older couple is walking past a Jewelry store on a sunny day .","Ein älteres paar geht an einem sonnigen Tag an einem Juweliergeschäft vorbei ."
"A narrow stream runs between leaf @-@ covered hills .","Ein schmaler Bach verläuft zwischen laubbedeckten Hügeln ."
"A man in a scuba suit holds a box .","Ein Mann im Taucheranzug hält eine Kiste ."
"A girl at the beach just getting out of the ocean .","Ein Mädchen am Strand , das gerade aus dem Meer kommt ."
"A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill .","Ein junger Mann mit Bierflasche und Zigarette spritzt eine Flüssigkeit auf die Holzkohle in einem Grill ."
"A girls laying down at the grass","Ein Mädchen , das im Gras liegt"
"Scuba diver under the water holding small crustacean in his hands .","Ein Taucher unter Wasser , der ein kleines Krustentier in den Händen hält ."
"A little girl running down a brighly lit hallway .","Ein kleines Mädchen , das einen hell erleuchteten Flur entlang rennt ."
"Young Asian girls rest along a river 's edge .","Asiatische Mädchen , die an einem Flussufer Rast machen ."
"Three people are posing in front of a large white building .","Drei Personen posieren vor einem großen weißen Gebäude ."
"Young students are playing musical instruments in an orchestra .","Junge Schüler spielen Musikinstrumente in einem Orchester ."
"Two men are underground and appear to be mining .","Zwei Männer sind untertage und scheinen Bergbauarbeiten zu erledigen ."
"A dark @-@ skinned man in a straw hat playing guitar and a man in sunglasses listening and smiling .","Ein dunkelhaariger Mann mit Strohhut , der Gitarre spielt , und ein Mann mit Sonnenbrille , der zuhört und lächelt ."
"Boys are climbing wooden poles in a dirty river .","Jungen klettern in einem schmutzigen Fluss an Holzpfosten hoch ."
"An elderly African @-@ American man in a yellow shirt is standing in front of an information stand .","Ein älterer afroamerikanischer Mann in einem gelben Hemd steht vor einem Informationsstand ."
"Three elderly women walking from behind .","Drei ältere Frauen , die gehen , von hinten ."
"A blindfolded man aims for a pinata while people watch from the deck behind him .","Ein Mann mit verbundenen Augen zielt auf eine Pinata , während Leute hinter ihm vom Deck aus zusehen ."
"Man in orange shirt squatting and working on black bicycle .","Ein Mann in einem orangefarbenen Hemd , der in der Hocke sitzt und an einem schwarzen Fahrrad arbeitet ."
"A woman in a black dress stands next to a pink bicycle .","Eine Frau in einem schwarzen Kleid steht neben einem rosafarbenen Fahrrad ."
"Man in white cleans the floor .","Ein weiß gekleideter Mann putzt den Boden ."
"A woman paints a picture of a large building which can be seen in the background .","Eine Frau malt ein Bild eines großen Gebäudes , das im Hintergrund zu sehen ist ."
"Children are reading and writing .","Kinder lesen und schreiben ."
"A man with a backpack and a walking stick explores a mountainous terrain .","Ein Mann mit Rucksack und Spazierstock erkundet ein bergiges Gelände ."
"Men work in a construction site .","Männer arbeiten auf einer Baustelle ."
"A group of women , who look unhappy , are sitting in a kitchen talking .","Eine Gruppe Frauen , die unglücklich aussehen , in einer Küche sitzen und miteinander reden ."
"Two people are sitting on a rock overlooking the river .","Zwei Leute sitzen auf einem Felsen mit Blick auf den Fluss ."
"A man is sitting on the grass holding a baby in front of him .","Ein Mann sitzt im Gras und hält ein Baby vor sich ."
"A man saws through a piece of wood to repair a fence .","Ein Mann sägt ein Stück Holz durch , um einen Zaun zu reparieren ."
"Band playing in front of a small crowd outside .","Eine Band spielt vor einem kleinen Publikum im Freien ."
"A small boy playing with a wheel .","Ein kleiner Junge spielt mit einem Rad ."
"Two young black men in blue jeans sit in front of a hammock .","Zwei junge schwarze Männer in Bluejeans sitzen vor einer Hängematte ."
"A group of people are walking down a rural street .","Eine Gruppe von Leuten geht eine ländliche Straße entlang ."
"Two Asian women are completing tasks and there is a beautiful background of bamboo .","Zwei asiatische Frauen , die etwas erledigen , und ein schöner Bambus @-@ Hintergrund ."
"Three large dogs running quickly next to a house .","Drei große Hunde neben einem Haus rennen schnell ."
"A group of women walk down the street all carrying open umbrellas to protect them from the rain coming down from the sky .","Eine Gruppe von Frauen , die die Straße entlang laufen und alle offene Regenschirme tragen , um sich vor dem vom Himmel fallenden Regen zu schützen ."
"Woman making sushi on a kitchen counter .","Eine Frau , die auf einer Küchentheke Sushi zubereitet ."
"The brown dog is walking through a river surrounded by bushes .","Der brauen Hund läuft durch einen von Büschen umgebenen Fluss ."
"A young African girl in a white chair is doing another girl 's hair .","Ein afrikanisches Mädchen in einem weißen Stuhl richtet einem anderen Mädchen die Haare ."
"An African American child in a red flannel shirt is sleeping on a woven rope hammock .","Ein afroamerikanisches Kind in einem roten Flanellhemd schläft auf einer Hängematte aus geflochtenen Seilen ."
"A little boy slides down a red slide .","Ein kleiner Junge rutscht auf einer roten Rutschbahn ."
"A woman in a green dress smoking a cigarette dances with a partner .","Eine Frau in einem grünen Kleid , die eine Zigarette raucht , tanzt mit einem Partner ."
"Two young men jumping over two big wood logs .","Zwei junge Männer springen über zwei große Holzstämme ."
"A man putting a little boy wearing orange into a child swing .","Ein Mann , der einen kleinen orange gekleideten Jungen in eine Kinderschaukel setzt ."
"Two men fighting while playing frisbee .","Zwei Männer , die Frisbee spielen und miteinander kämpfen ."
"A smiling woman in an orange skirt holds an open briefcase that displays a claw hammer .","Eine lächelnde Frau in einem orangefarbenen Rock hält eine offene Aktentasche , in der ein Zimmermannshammer zu sehen ist ."
"Guy instructing people in back of train .","Ein Mann gibt Personen im hinteren Teil des Zuges Anweisungen ."
"A man in a green shirt holds a rolling pin while smoking a cigarette in a cluttered kitchen .","Ein Mann mit grünem Hemd in einer unaufgeräumten Küche hält ein Nudelholz und raucht eine Zigarette ."
"A man operating a crane concentrates while inside of a protective booth .","Ein Mann , der einen Kran bedient und in einem Schutzkabine sitzt , konzentriert sich ."
"Two people are in a long wooden boat in a body of water .","Zwei Personen befinden sich in einem langen Holzboot auf einem Gewässer ."
"A young couple enjoying some snow cones on crowded street .","Ein junges Paar auf einer belebten Straße isst Snow @-@ Cone @-@ Eis ."
"A young man flips up a welders ' mask as a young girl looks on , a six @-@ pack , barbecue , and chalk message in the background .","Ein junger Mann klappt eine Schweißermaske hoch , während ein Mädchen zusieht , Sixpack , Grill und Kreidebotschaft im Hintergrund ."
"People are standing on a train platform waiting for the train .","Leute stehen auf einem Bahnsteig und warten auf den Zug ."
"A sleeping baby in a bib laying on a blanket .","Ein schlafendes Baby mit Latz , das auf einer Decke liegt ."
"A man in black , on a city sidewalk , plays the accordion .","Ein schwarz gekleideter Mann auf dem Bürgersteig einer Stadt spielt Akkordeon ."
"A man is sitting at a table eating and drinking .","Ein Mann sitzt an einem Tisch und isst und trinkt ."
"Two scuba divers are interacting with a dolphin underwater .","Zwei Taucher kommunizieren unter Wasser mit einem Delphin ."
"Three women outside all dress the same and talking to one another .","Drei Frauen im Freien sind alle gleich angezogen und sprechen miteinander ."
"Black women make cloths in their home .","Schwarze Frauen machen zuhause Kleidung ."
"A man with medium length hair , wearing a red beanie and blue shorts with no shirt , on one knee at the beach , sculpting a sand castle with a trough .","Ein Mann mit mittellangen Haaren und nacktem Oberkörper , der eine rote Beanie und blaue Shorts trägt , auf einem Knie am Strand , wie er eine Sandburg mit einer Rinne formt ."
"Blond boy eating a sandwich on a white chair .","Ein blonder Junge auf einem weißen Stuhl , der ein Brot isst ."
"A bunch of cowboys are awaiting their challenge of catching a live animal .","Ein paar Cowboys , die auf einen Wettbewerb warten , wo sie ein lebendes Tier fangen ."
"A group of people in white stand with white goats .","Eine Gruppe weiß gekleideter Menschen steht bei weißen Ziegen ."
"A man and a woman share a kiss on the beach .","Ein Mann und eine Frau küssen sich am Strand ."
"Woman cleans windows in front of store .","Eine Frau vor einem Laden putzt die Fenster ."
"Street dancing on plastic while a large group of youth stand about and watch .","Streetdancing auf einem Stück Kunststoff , während eine Gruppe Jugendlicher herumsteht und zusieht ."
"A quarterback is about to throw a pass from the end zone in a football game .","Ein Quarterback in einem Football @-@ Spiel steht kurz davor , einen Pass von der Endzone aus zu werfen ."
"A little girl hugs her brother on a footbridge in a forest .","Ein kleines Mädchen auf einer Fußbrücke im Wald umarmt ihren Bruder ."
"A girl walks downhill past some parked cars .","Ein Mädchen geht an geparkten Autos vorbei bergab ."
"A boy tries to put a screen on a window .","Ein Junge versucht , ein Fliegengitter an einem Fenster anzubringen ."
"A young black man with two guns pointed at his head .","Ein junger schwarzer Mann , auf dessen Kopf zwei Pistolen gerichtet sind ."
"A quarterback , in the statue of liberty position , is being held onto by an opposing player from behind .","Ein Quarterback in „ Freiheitsstatuenhaltung “ wird von einem Spieler der gegnerischen Mannschaft von hinten gehalten ."
"The dog is chasing the goat around the yard .","Der Hund jagt die Ziege um den Hof ."
"Man in straight jacket trying to get loose , standing in front of child with Jenga blocks .","Ein Mann vor einem Kind mit Jenga @-@ Klötzen in einer Zwangsjacke , der versucht , sich daraus zu befreien ."
"The little boy is in the swimming pool with an adult woman .","Der kleine Junge ist mit einer erwachsenen Frau im Schwimmbecken ."
"A sparsely @-@ populated arcade with many brightly lit games and a few people sprinkled around .","Eine kaum belebte Arkade mit vielen hell erleuchtende Spielen und ein paar verstreuten Leuten ."
"A man wearing camouflage steers a motorcycle across some stones .","A Mann in Tarnkleidung lenkt ein Motorrad über Steine ."
"Four young men enjoy a dip in the local lake .","Vier junge Männer vergnügen sich mit einem Bad im örtlichen See ."
"A family is sitting in a park on the grass .","Eine Familie sitzt in einem Park auf dem Gras ."
"A pep band in red and white uniform is playing while seated in a stadium .","Eine Pep @-@ Band in rot @-@ weißen Uniformen sitzt in einem Stadion und spielt ."
"Woman with red curly hair taking pictures outside .","Eine Frau mit lockigen roten Haaren fotografiert im Freien ."
