"src","tgt"
"A group of people walking down a trail in the woods .","Eine Gruppe geht einen Pfad im Wald hinunter ."
"Three children are playing with a red ball in a park .","Drei Kinder spielen in einem Park mit einem roten Ball ."
"A little boy kicking a rubber ball .","Ein Junge kickt einen Gummiball ."
"This picture of a man reading is tilted .","Dieses Bild eines lesenden Mannes ist schräg ."
"A man on a ladder wearing blue jacket and a blue jeans","Ein Mann auf einer Leiter mit blauer Jacke und blauen Jeans"
"Three road workers in orange jackets and pants clean up with a wheelbarrow .","Drei Straßenarbeiter in orangenen Jacken und Hosen machen mit einer Schubkarre sauber ."
"A man on stilts stands in front of a line of drummers .","Ein Mann auf Stelzen steht vor eine Reihe von Trommlern ."
"A young guy , probably in his early twenties , shows off his culinary skills with pride .","Ein junger Mann , vermutlich Anfang zwanzig , führt stolz seine kulinarischen Künste vor ."
"Terrier dog playing with toy on blanket","Ein Terrier , der auf einer Decke mit einem Spielzeug spielt ."
"A dog running across a grassy field with a stick in its mouth .","Ein Hund , der mit einem Stock im Maul über eine Wiese rennt ."
"A boy with glasses and plaid shirt reads a book .","Ein Junge mit Brille und kariertem Hemd liest ein Buch ."
"A young man looks at a book on the ground in a wooded area .","Ein junger Mann in einer Waldgegend sieht sich ein Buch auf dem Boden an ."
"2 men stand in line at a restaurant .","2 Männer stehen in einer Reihe in einem Restaurant ."
"Several children sit on a carnival ride in front of the face of a clown and several fake balloons .","Mehrere Kinder sitzen auf einem Karussell vor dem Gesicht eines Clowns und mehrerer Luftballonimitate ."
"A woman with dirty blond @-@ hair and glasses is cutting something .","Eine Frau mit schmutzigen blonden Haaren und Brille schneidet etwas ."
"A man wearing a ball cap and a blue T @-@ shirt rides a white horse down a dirt road through lush , green nature .","Ein Mann mit Schildkappe und blauem T @-@ Shirt reitet ein weißes Pferd auf einer unbefestigten Straße durch üppiges Grün ."
"A middle @-@ aged woman cooking while her dog watches .","Eine Frau im mittleren Alter , die kocht , während ihr Hund zusieht ."
"Redhead woman in pigtails and glasses sewing on a sewing machine .","Eine rothaarige Frau mit Zöpfen und Brille , die auf einer Nähmaschine näht ."
"Two men in a room looking at a computer screen .","Zwei Männer in einem Raum , die auf einen Computerbildschirm blicken ."
"A gray dog runs along side a pool while a yellow dog jumps into the pool .","Ein grauen Hund rennt neben einem Schwimmbad entlang , während ein gelber Hund in das Schwimmbad springt ."
"A child is sliding down a hill on a sled .","Ein Kind rutscht auf einem Schlitten einen Hügel hinunter ."
"A man and a woman locking arms ( wearing expensive clothing ) next to glass display ( perhaps retail stores ) on the sidewalk in an urban setting .","Ein Mann und eine Frau ( in teurer Kleidung ) , die sich neben einem Glasschaufenster ( vielleicht Einzelhandel ) auf dem Bürgersteig in einer städtischen Umgebung untergehakt haben ."
"Two workers toil in a smelting factory .","Zwei Arbeiter leisten in einer Schmelzhütte harte Arbeit ."
