"src","tgt"
"A man pushing a cart on a dirt road .","Ein Mann schiebt einen Wagen über eine unbefestigte Straße ."
"Two women in lab coats looking on a image projected on the wall","Zwei Frauen in Laborkitteln betrachten ein an die Wand projiziertes Bild ."
"A Blond woman in a pink turtleneck jumps with yellow bungee cords .","Eine blonde Frau in einem rosafarbenen Rollkragenpullover springt mit gelben Bungeeseilen ."
"A woman in a mustard dress with a white purse is walking down the street in front of a brick building .","Eine Frau in einem senffarbenen Kleid mit einer weißen Handtasche geht vor einem Backsteinbau die Straße entlang ."
"Construction on the inside of a house .","Bauarbeiten im Inneren eines Hauses ."
"An older woman and a young boy , who is eating something , sit facing away from each other .","Eine ältere Frau und ein kleiner Junge , der etwas isst , sitzen voneinander abgewandt ."
"The two seated girls smile towards the camera .","Die beiden sitzenden Mädchen lächeln in die Kamera ."
"There are two kids , a soccer ball , a dog and a goat outside in a field .","Zwei Kinder , ein Fußball , ein Hund und eine Ziege draußen auf einem Feld ."
"A dog with a muzzle and blue jacket runs around the yard .","Ein Hund mit Maulkorb in einer blauen Hundejacke rennt im Hof herum ."
"A man hugging a young boy in a blue shirt .","Ein Mann umarmt einen Jungen in einem blauen Hemd ."
"A boy gives being in the snow two thumbs up .","Junge im Schnee zeigt beide Daumen hoch ."
"A furocious female tennis player about to hit a tennis ball in the air .","Grimmige Tennisspielerin kurz davor , einen Tennisball in der Luft zu schlagen ."
"Two people walking down some stairs .","Zwei Menschen gehen eine Treppe hinunter ."
"The child in the green shirt is on a machine with wheels .","Das Kind im grünen Hemd sitzt auf einer Maschine mit Rädern ."
"A man in a hat enjoys a beer .","Ein Mann mit Hut genießt ein Bier ."
"The woman is training a white dog to zigzag through metal poles .","Die Frau bringt einem weißen Hund bei , im Zickzack durch Metallpfosten zu laufen ."
"A barefooted girl is swinging high on a swing on a spring afternoon .","Ein Mädchen schaukelt barfuß an einem Frühlingsnachmittag hoch auf einer Schaukel ."
"A policeman walks away from a gate with a large brown and black dog .","Ein Polizist entfernt sich von einem Tor mit einem großen schwarz @-@ braunen Hund ."
"A blond dog runs in the grass holding a stick in its mouth .","Blonder Hund , der einen Stock im Maul hat , rennt durchs Gras ."
"A man stands in front of a statue .","Ein Mann steht vor einer Statue ."
"A man in a public road workers uniform sprays water .","Ein Mann in der Uniform eines öffentlichen Straßenangestellten spritzt Wasser ."
"Reflections in water of people on bridge and child walking to the water 's edge","Spiegelbilder im Wasser von Menschen auf einer Brücke und einem Kind , das ans Ufer läuft ."
"The woman is skating in the park .","Die Frau fährt im Park Skateboard ."
"Two women are looking at images on a computer screen .","Zwei Frauen betrachten Bilder auf einem Computerbildschirm ."
"A red @-@ haired girl holds a cute baby goat .","Ein rothaariges Mädchen hält ein niedliches Ziegenbaby ."
"A child playing on a red scooter .","Ein Kind spielt auf einem roten Roller ."
"Two children , a boy and a girl , running across the dirt .","Zwei Kinder , ein Junge und ein Mädchen , laufen über unbefestigten Boden ."
"A person swimming in a pool wearing a red bathing suit and blue goggles .","Ein Mensch in roter Badebekleidung mit einer blauen Schwimmbrille schwimmt in einem Becken ."
"A child in a dragon costume on a bike .","Kind in Drachenkostüm auf einem Fahrrad ."
"A man dressed in a brown coat and bomber hat is carrying shopping bags and walking towards an intersection .","Ein mit braunem Mantel und Fliegerkappe gekleideter Mann trägt Einkaufstüten und geht auf eine Kreuzung zu ."
"Two teenage girls are wearing fancy dresses at an event .","Zwei Teenagerinnen tragen Kostüme bei einer Veranstaltung ."
"A kid sliding down a slide while another kid looks on","Kind rutscht eine Rutsche runter , während anderes Kind zuschaut ."
"A man in suit is walking down a crowded street .","Mann im Anzug läuft eine belebte Straße entlang ."
"A man is walking in front of an older home without any paint on it","Ein Mann geht an einem alten Wohnhaus ohne Farbe vorbei ."
"People heading home from work at the train station .","Menschen am Bahnhof auf dem Heimweg von der Arbeit ."
"Two people sitting on a bench in a city street with a heart shaped balloon in hand .","Zwei Menschen auf einer Bank in einer städtischen Straße mit einem herzförmigen Ballon in der Hand ."
"A man in black coat and gray pants are walking along a quiet street .","Ein Mann in schwarzem Mantel und grauer Hose läuft eine ruhige Straße entlang ."
"Two dogs playfully wrestle in a rocky setting .","Zwei Hunde kämpfen spielerisch in einer felsigen Umgebung ."
"A little girl in a sundress plays in the sand .","Ein kleines Mädchen in einem Strandkleid spielt im Sand ."
"A black dog and a brown dog in snow .","Ein schwarzer Hund und ein brauner Hund im Schnee ."
"A man with a motorcycle helmet rests by the waterfront .","Ein Mann mit einem Motorradhelm rastet am Ufer ."
"Six women that are showing their nationality by holding a flag .","Sechs Frauen zeigen ihre Nationalität über eine Flagge , die sie halten ."
"Several people wearing white mask are holding a banner and signs .","Mehrere Menschen mit weißen Masken halten ein Banner und Schilder ."
"Several military men surrounding women who are sitting on the ground with flags .","Mehrere männliche Soldaten kreisen Frauen mit Fahnen ein , die auf dem Boden sitzen ."
"Two black and white dogs fighting in the snow","Zwei schwarz @-@ weiße Hunde kämpfen im Schnee ."
"A little boy plays with a basketball and a toy basketball hoop .","Ein kleiner Junge spielt mit einem Basketball und einem Spielzeug @-@ Basketballkorb ."
"Kids are playing in water fountains","Kinder spielen in Wasserbrunnen ."
"A man wearing a brown jacket and gray hat stands with his eyes closed in a crowd of people outdoors .","Ein mit einer braunen Jacke und einem grauen Hut bekleideter Mann steht mit geschlossenen Augen in einer Menschenmenge im Freien ."
"A young boy is sitting on a fence with a platter of food on his head .","Ein kleiner Junge sitzt auf einem Zaun mit einer Platte mit Essen auf seinem Kopf ."
"Two women wearing glasses one is laughing and one is smiling .","Zwei Frauen , die Brille tragen , eine lacht und eine lächelt ."
