"src","tgt"
"A group of people looking into their cameras","Mehrere Personen , die in ihre Kameras blicken"
"A man on a kayak coming down a raging waterfall","Ein Mann im Kajak , der einen wilden Wasserfall herunterkommt"
"A man in a yellow boat paddling down rough waters .","Ein Mann mit einem gelben Boot , der durch Wildwasser paddelt ."
"A little girl wearing a purple dress looks down at the camera .","Ein kleines Mädchen mit einem violetten Kleid blickt zur Kamera hinunter ."
"A man smiles in his blue and green kayak .","Ein Mann in einem blau @-@ grünen Kajak lächelt ."
"Woman and a man standing across street from each other at a crosswalk .","Eine Frau und ein Mann stehen einander an einem Fußgängerüberweg auf gegenüberliegenden Straßenseiten gegenüber ."
"A man and woman are drinking at a bar .","Ein Mann und eine Frau trinken an einer Bar ."
"A man in a parking lot next to a red truck putting a box into it .","Ein Mann auf einem Parkplatz neben einem roten Lkw , der eine Schachtel in diesen Lkw stellt ."
"The rear end of an animal whose front end is underground .","Das hintere Ende eines Tieres , dessen vorderes Ende unter der Erde ist ."
"A mustached man in a white shirt is at a stand that displays cigarettes and glass bottles of various sodas .","Ein Mann mit Schnauzer und weißem Hemd ist an einem Stand , wo Zigaretten und Glasflaschen mit verschiedenen Limonaden ausgestellt sind ."
"Looks to be a large gathering of people rapped in burgundy clothes .","Das scheint eine große Versammlung von Leuten und burgunderfarbener Kleidung zu sein ."
"Two men dressed up with fur around them with whole noses and hats and sunglasses on .","Zwei Männer , die sich fein gemacht haben , mit Pelzen mit ganzen Nasen und Hüten und Sonnenbrillen ."
"People pose for a picture in the snow","Leute posieren für ein Bild im Schnee ."
"A young white man , wearing dark pants and a light colored t @-@ shirt playing a french horn in a band .","Ein junger weißer Mann mit dunklen Hosen und einem hellen T @-@ Shirt spielt in einer Band Waldhorn ."
"A older man in a Hawaiian shirt carrying a large bundle on his shoulders .","Ein älterer Mann im Hawaiihemd trägt ein großes Bündel auf den Schultern ."
"A damaged vehicle is carried by a repair truck in a nighttime scene .","Ein beschädigtes Fahrzeug wird in einer nächtlichen Umgebung von einem Reparaturfahrzeug befördert ."
"Two little girls are laying on the grass smiling .","Zwei kleine Mädchen liegen lächelnd auf dem Gras ."
"Two men , without any shirts on , are playing table tennis","Zwei Männer mit nacktem Oberkörper spielen Tischtennis ."
"A man wearing sunglasses is playing the guitar .","Ein Mann mit Sonnenbrille spielt Gitarre ."
"An man with a black ski cap and a red and white headband looks into the distance .","Ein Mann mit schwarzer Skimütze und einem rot @-@ weißen Halsband blickt in die Ferne ."
"A barefoot little boy sweeping a brick floor .","Ein barfüßiger kleiner Junge kehrt einen Ziegelboden ."
"A dog with a newspaper in his mouth runs down a paved path .","Ein Hund mit einer Zeitung im Maul rennt einen befestigten Pfad entlang ."
"Three women sitting on a bench waiting for the bus .","Drei Frauen , die auf einer Bank sitzen und auf den Bus warten ."
"Man in a black bodysuit is surfing in the ocean .","Ein Mann in einem schwarzen Bodysuit surft im Meer ."
"Three black dogs swimming in dirty water","Drei schwarze Hunde , die in schmutzigem Wasser schwimmen"
"A young girl holding a cake with candles dressed in a heavy coat .","Ein Mädchen , das einen schweren Mantel trägt und einen Kuchen mit Kerzen hält ."
"A brown dog is walking in the water .","Ein brauner Hund geht im Wasser ."
"One man wearing brown and red is playing golf indoors .","Ein braun und rot gekleideter Mann spielt in einer Halle Golf ."
"A man hikes on a dirt path high above a city .","Ein Mann wandert auf einem unbefestigten Weg hoch über der Stadt ."
"A lone hiker on a dirt hiking trail with a hat and sunglasses on with trees in the background","Ein einsamer Wanderer auf einem unbefestigten Wanderpfad mit Mütze und Sonnenbrille und mit Bäumen im Hintergrund"
"Hiker standing on top of a rock overlooking a town .","Ein Wanderer , der auf einem Felsen steht und über eine Stadt blickt ."
"Two men stand near a piece of large machinery .","Zwei Männer stehen neben einer großen Maschine ."
"Two men , dresses in jackets and gloves , blowing leaves .","Zwei Männer mit Jacken und Handschuhen blasen Blätter weg ."
